pregunta,opcion1,opcion2,opcion3,opcion4,opcion5,correctas,explicacion
"¿En qué parte del vehículo es conveniente poner el equipaje?","Lo más pesado en el fondo del baúl, cerca del centro del auto. Eso ayuda a la estabilidad direccional y al comportamiento en las curvas.","Lo más pesado en el techo del vehículo, sujeto con sogas. Eso ayuda al centro de gravedad.","Lo más pesado en los asientos traseros (si es que se viaja sin ocupantes en esa zona).",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Eso ayuda a la estabilidad direccional. ¿Quién es el responsable frente a la autoridad de control, si uno de los pasajeros del automóvil no lleva puesto el cinturón de seguridad?","El tomador del seguro.","El pasajero, si es mayor de edad.","El conductor.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Durante un siniestro, si el conductor del vehículo no lleva puesto el cinturón de seguridad, el airbag...","Le salvará la vida ya que puede sustituir al cinturón de seguridad.","Evitará que sufra lesiones, siempre y cuando el siniestro se produzca a menos de 80 km/h.","Puede provocar lesiones graves.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Luego de un largo viaje en ruta, realizó una parada y le faltan muy pocos kilómetros para llegar a destino, ¿es necesario que todos los ocupantes vuelvan a ponerse el cinturón de seguridad?","No, sólo es obligatorio para los que se ubiquen en los asientos delanteros.","No, porque se está por llegar a destino.","Sí, porque su uso es obligatorio para todos los ocupantes.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Requisitos para automotores El dispositivo de airbag de un vehículo constituye un elemento de seguridad de tipo Activa","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La seguridad Activa consiste","Reducir al mínimo los daños que se pueden producir cuando acontece un sienestro.","Compone el conjunto de soluciones técnicas y el contenido de los elementos que hacen distendida la vida a bordo del vehículo.","Está orientada a evitar al máximo los siniestros viales y comprende el conjunto de todos aquellos elementos que contribuyen a propocionar una mayor eficacia en la conducción garantizando respuestas eficaces.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La seguridad Pasiva consiste","Reducir al mínimo los daños que se pueden producir cuando acontece un sienestro.","Compone el conjunto de soluciones técnicas y el contenido de los elementos que hacen distendida la vida a bordo del vehículo.","Está orientada a evitar al máximo los siniestros viales y comprende el conjunto de todos aquellos elementos que contribuyen a propocionar una mayor eficacia en la conducción garantizando respuestas eficaces.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La seguridad Preventiva consiste","Reducir al mínimo los daños que se pueden producir cuando acontece un sienestro.","Compone el conjunto de soluciones técnicas y el contenido de los elementos que hacen distendida la vida a bordo del vehículo.","Está orientada a evitar al máximo los siniestros viales y comprende el conjunto de todos aquellos elementos que contribuyen a propocionar una mayor eficacia en la conducción garantizando respuestas eficaces.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Marque con una cruz los elementos de segurdad Activa que se detallan a continuación. (Pueden ser todos, varios o ninguno).","airbag","Sistema de frenos","Sistema de dirección hidráulica.","Cinturones de seguridad","Sillas porta bebé","2,3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Definición de Automóvil: el automotor para el transporte de personas de hasta ocho plazas (excluido conductor) con cuatro o más ruedas, y los de tres ruedas que exceda los mil quinientos kg de peso;","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Además de ser trasladados en el asiento trasero del vehículo, deberán ubicarse en el dispositivo de retención infantil correspondiente:","los menores de 2 años","Los menores de 3 años","Los menores de 4 años Sistema de iluminación",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Los faros delanteros deben ser:","De luz blanca únicamente","De luz blanca o amarilla indistintamente","De luz amarilla únicamente",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Los faros delanteros:","No indican sentido de marcha","Sólo indican el sentido de marcha si son amarillas","Indican el sentido de marcha",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Las luces de posición traseras deben ser:","De color blanco","De color blanco o rojo indistintamente","De color rojo",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La luz de retroceso debe ser:","De color amarillo","De color blanco","De color rojo",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Marque con una cruz los elementos de segurdad Pasiva que se detallan a continuación. (Pueden ser todos, varios o ninguno).","Airbag.","Cinturones de seguridad.","apoya cabezas","asientos",,"1,2,3,4","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La profundidad del dibujo del neumático debe tener como mínimo","1,4 mm","1,6 mm","1,8 mm",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Que es el aquaplanning","Es una película de agua que se forma entre las cubiertas y el guardabarros del vehíuclo.","Es una película de agua que se forma debajo de las cubiertas.","Es una película de agua que se forma por encima de las cubiertas.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Las señales de demarcación horizontal longitudinales blancas separan las corrientes de tránsito en dirección opuesta.","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Las señales de demarcación horizontal longitudinales blancas delimitan los carriles de ciruclación y tienen carácter permisivo para cambiar de carril.","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Las señales de demarcación horizontal blancas de trazo intermitente delimitan los carriles de ciruclación y tienen carácter prohibitivo para cambiar de carril.","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Otro de los dispositivos de seguridad que tienen los automóviles y son de seguridad preventiva son: Marque con una cruz","Equipo de audio.","climatización.","de visibilidad.",,,"2,3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Existen tres (3) tipos de desgastes de los neumáticos. En el centro, en los talones y el anormal rápido.","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El airbag debe estar ubicado entre el conductor y el volante a una distancia de:","30cm.","25cm.","35cm.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En las vías reguladas por semáforos, los vehículos deben:","Con luz roja, detenerse antes de la línea marcada a tal efecto o de la senda peatonal, evitando luego cualquier movimiento","Con luz roja, detenerse sobre la línea marcada a tal efecto o de la senda peatonal, evitando luego cualquier movimiento.","Con luz roja, detenerse antes de la línea marcada a tal efecto o de la senda peatonal, realizando movimientos hasta que se ponga la luz verde.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Los amortiguadores tienen como función proporcionar seguridad y confort durante la conducción, aportando estabilidad al vehículo.","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Otro de los dispositivos de seguridad que como minimo deben tener los automoviles es:","Equipo de audio.","Porta equipaje.","Sistema motriz de retroceso.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El uso correcto del apoya cabezas en un vehículo es:","Muy abajo, donde la parte saliente quede a la altura del cuello del usuario.","Muy atrás en relación con la posición de la cabeza.","La distancia entre el apoya cabezas y la nunca del usuario no debe ser mayor a 5 cm.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El tiempo apróximado de recuperación por la ingesta de 400 cm3 de bebida alocholica es","de 2 a 3 hs.","de 2 a 4 hs.","de 3 a 5 hs.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El mal estado de los amortiguadores de un vehículo produce:","Una mayor distancia de frenado y estabilidad.","El no desgaste de los neumáticos.","Una mayor inestabilidad de la dirección.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El cinturón de seguridad en los vehículos:","Disminuye los riesgos y consecuencias de los siniestros de tránsito.","Debe usarse sólo cuando se conduce fuera del ámbito urbano (rutas, autopistas, etc.).","Disminuye la posibilidad de incurrir en un siniestro vial.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cual es la distancia de seguridad que debe dejarse entre vehiculos al circular en ciudad?","50 mts (3 segundos)","80 mts (4 segundos)","30 mts (2 segundos)",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuándo un vehículo está “Detenido”?:","Al momento de carga y descarga de mercaderías, sin movimiento ni conductor a bordo","Al momento de ascenso y descenso de pasajeros o carga y descarga de mercadería, sin movimiento pero con su conductor a bordo","En cualquier circunstancia, sin movimiento ni conductor a bordo",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Al momento de producirse un sisniestro vial, se deben colocar los triángulos de emergencias a fin de señalizar el sinsiestro a una distancia de","50 mts del vehículo.","60 mts del vehículo.","70 mts del vehículo.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Marque cual de los siguientes motivos son causales de siniestros en las rutas. Pueden ser todos, algunos o ninguno.","Falta de atención al conducir.","Adelantamientos indebidos.","Somnolencia del conductor.",,,"1,2,3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Puede un vehículo no destinado a remolque, remolcar a otros?","Si.","No, salvo casos de fuerza mayor.","No, en ningún caso.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La prioridad de paso de un vehículo se pierde:","Ante el paso de vehículos de mayor porte.","Ante vehículos del servicio público de urgencia, en cumplimiento de su misión.","Nunca se pierde.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El titular de una licencia de conducir tiene un plazo de gracia de 60 (sesenta) días para gestionar la renovación de su licencia una vez vencida la misma. En ese lapso de tiempo está en condiciones de renovar pero no de manejar.","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Cuando un automóvil es conducido por un camino con nieve o hielo, ¿cuál es la maniobra correcta que se debe realizar?:","Conducir el vehículo con el freno de manos activado, sobrepasando a los demás vehículos.","Conducir con regularidad, evitando frenar bruscamente y no sobrepasando a otros vehículos.","Conducir a la menor velocidad posible con las balizas encendidas sin sobrepasar a otros.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El uso de enganches sobresalientes:","Está permitido en vehículos de carga","Está permitido en zonas de baja densidad de tránsito","Está prohibido",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿En qué circunstancia está permitido circular sin respetar distancias prudentes con el vehículo que va adelante?","Transitando vías multicarriles","En toda circunstancia, si no se trata de vehículos de carga","Está prohibido en toda circunstancia",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
